iter	mode	J_meanT	J_obj	J_aug	DissPower	outletT	solid_frac	solid_g	flow_m3s	deltaP_m2s2	wall_thickness	g_meanT	pen_meanT	g_disspower	pen_disspower	mu_penalty	g_oh	pen_oh	mu_oh	grad_norm	delta_x	elapsed_s	alphaMax
1	heat	0.362	0.362	537.425	12756.2	270.029	0.7072	29.9962	2e-07	63.79	1	nan	0	12760	537.1	10000	0	0	nan	302000	nan	35	1.6e+07
2	heat	0.592	0.592	0.592	3221.94	270.043	0.7063	29.961	2e-07	16.13	1	nan	0	3222	0	11000	0	0	nan	57.23	7.746	30.6	1.6e+07
3	heat	1.794	1.794	1.794	3592.4	270.107	0.7059	29.9417	2e-07	18	1	nan	0	3592	0	11000	0	0	nan	128.4	7.746	37.5	1.6e+07
4	heat	1.685	1.685	1.685	4168.29	270.123	0.7082	30.0393	2e-07	20.9	1	nan	0	4168	0	11000	0	0	nan	127.7	6.859	36.6	1.6e+07
5	heat	1.667	1.667	1.667	4658.49	270.142	0.7043	29.877	2e-07	23.3	1	nan	0	4658	0	11000	0	0	nan	136.1	7.299	33.8	1.6e+07
6	heat	2.95	2.95	2.95	3423.58	270.223	0.7053	29.9196	2e-07	17.22	1	nan	0	3424	0	11000	0	0	nan	131	6.7	36	1.6e+07
7	heat	0.888	0.888	0.888	3908.75	270.061	0.7039	29.8572	2e-07	19.59	1	nan	0	3909	0	11000	0	0	nan	74.41	6.849	32.1	1.6e+07
8	heat	1.117	1.117	1.117	4439.1	270.084	0.7077	30.0179	2e-07	22.21	1	nan	0	4439	0	11000	0	0	nan	78.99	6.685	34.7	1.6e+07
9	heat	2.12	2.12	2.12	2611.13	270.185	0.7002	29.7002	2e-07	13.09	1	nan	0	2611	0	11000	0	0	nan	244.7	6.23	43.5	1.6e+07
10	heat	0.843	0.843	0.843	4634.07	270.065	0.7061	29.9524	2e-07	23.21	1	nan	0	4634	0	11000	0	0	nan	82.68	6.454	36.8	1.6e+07
11	heat	2.433	2.433	2.433	3220.14	270.189	0.7047	29.8906	2e-07	16.11	1	nan	0	3220	0	11000	0	0	nan	220.7	6.07	37.3	1.6e+07
12	heat	1.541	1.541	1.541	3612.29	270.132	0.7053	29.9166	2e-07	18.08	1	nan	0	3612	0	11000	0	0	nan	142.8	5.438	33.3	1.6e+07
13	heat	2.866	2.866	2.866	2861.59	270.295	0.7022	29.7848	2e-07	14.34	1	nan	0	2862	0	11000	0	0	nan	135.3	5.175	35.2	1.6e+07
14	heat	2.291	2.291	2.291	2911.58	270.181	0.7049	29.8987	2e-07	14.57	1	nan	0	2912	0	11000	0	0	nan	161.1	4.764	32.8	1.6e+07
15	heat	3.119	3.119	3.119	3782.58	270.256	0.7016	29.7608	2e-07	18.97	1	nan	0	3783	0	11000	0	0	nan	217.4	4.465	38.3	1.6e+07
16	heat	2.982	2.982	2.982	2646.06	270.238	0.7033	29.8327	2e-07	13.25	1	nan	0	2646	0	11000	0	0	nan	183.8	4.054	33.3	1.6e+07
17	heat	3.063	3.063	3.063	2210.57	270.176	0.7036	29.8461	2e-07	11.07	1	nan	0	2211	0	11000	0	0	nan	230.5	4.031	30.9	1.6e+07
18	heat	3.555	3.555	3.555	2612.88	270.207	0.7022	29.7868	2e-07	13.08	1	nan	0	2613	0	11000	0	0	nan	121.8	3.915	36.5	1.6e+07
19	heat	3.177	3.177	3.177	2248.65	270.211	0.703	29.8188	2e-07	11.26	1	nan	0	2249	0	11000	0	0	nan	128.3	3.684	39.5	1.6e+07
20	heat	3.932	3.932	3.932	3181.9	270.219	0.7022	29.7862	2e-07	15.96	1	nan	0	3182	0	11000	0	0	nan	136.4	3.54	37.6	1.6e+07
